2014;;;;;
Audi;450;36;8,0;19,9;
Bmw;138;13;9,4;18,4;
Chevrolet;2660;65;2,4;22,5;
Chrysler;981;99;10,1;16,2;
Citroen;29207;1208;4,1;13,2;
Fiat;11729;220;1,9;14,9;
Ford;36645;1048;2,9;14,9;
Hyundai;8629;613;7,1;13,3;
Isuzu;4648;50;1,1;24,0;
Iveco;1879;64;3,4;13,6;
Jeep;2186;41;1,9;19,2;
Kia;1926;264;13,7;13,6;
Land Rover;2696;25;0,9;15,3;
Mazda;1011;83;8,2;21,9;
Mercedes-Benz;25276;597;2,4;15,1;
Mitsubishi;16664;719;4,3;19,2;
Nissan;18928;525;2,8;18,2;
Opel;19274;831;4,3;14,5;
Peugeot;32995;1528;4,6;13,3;
Renault;11593;785;6,8;12,9;
Seat;798;259;32,5;14,4;
Skoda;934;355;38,0;15,7;
Ssangyong;3615;37;1,0;11,0;
Subaru;508;135;26,6;25,5;
Suzuki;4805;183;3,8;22,0;
Toyota;76449;938;1,2;17,0;
Volkswagen;107380;2400;2,2;16,1;
Volvo;1138;65;5,7;24,2;
