postnummer;poststed;adresse;kontornummer;kontor;kommunenummer;kommune;
0010;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0015;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0026;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0037;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0050;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0139;Oslo;;0318;NAV Nordstrand;0301;Oslo;
0150;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0150;Oslo;Bispegata;0316;NAV Gamle Oslo;0301;Oslo;
0150;Oslo;Bispekaia;0316;NAV Gamle Oslo;0301;Oslo;
0150;Oslo;Bleikøya;0316;NAV Gamle Oslo;0301;Oslo;
0150;Oslo;Gressholmen;0312;NAV Frogner;0301;Oslo;
0150;Oslo;Hovedøya;0312;NAV Frogner;0301;Oslo;
0150;Oslo;Lindøya;0316;NAV Gamle Oslo;0301;Oslo;
0150;Oslo;Nakholmen;0312;NAV Frogner;0301;Oslo;
0150;Oslo;Sørenga;0316;NAV Gamle Oslo;0301;Oslo;
0151;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0152;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0153;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0154;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0155;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0157;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0158;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0159;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0160;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0161;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0162;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0164;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0165;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0166;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0166;Oslo;Holbergs gate 7–;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Holbergs plass;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Linstows gate;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Pilestredet 39–41;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Staffeldts gate;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Sven Bruns gate;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Welhavens gate 1–7;0312;NAV Frogner;0301;Oslo;
0166;Oslo;Welhavens gate 2–6;0312;NAV Frogner;0301;Oslo;
0167;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0167;Oslo;Dalsbergstien 19–21;0313;NAV St. Hanshaugen;0301;Oslo;
0167;Oslo;Pilestredet 40–60;0313;NAV St. Hanshaugen;0301;Oslo;
0167;Oslo;Wergelandsveien 2–;0313;NAV St. Hanshaugen;0301;Oslo;
0168;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0169;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0170;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0171;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0172;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0173;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0174;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0175;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0175;Oslo;Darres gate 40;0314;NAV Sagene;0301;Oslo;
0175;Oslo;Maridalsveien 22–30;0313;NAV St. Hanshaugen;0301;Oslo;
0175;Oslo;Maridalsveien 45;0314;NAV Sagene;0301;Oslo;
0175;Oslo;Uelands gate 8–24;0313;NAV St. Hanshaugen;0301;Oslo;
0175;Oslo;Uelands gate 51–55;0314;NAV Sagene;0301;Oslo;
0175;Oslo;Waldemar Thranes gate 72–;0314;NAV Sagene;0301;Oslo;
0176;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0177;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0177;Oslo;Fredensborgveien 35–;0315;NAV Grünerløkka;0301;Oslo;
0178;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0178;Oslo;Deichmans gate 6–;0313;NAV St. Hanshaugen;0301;Oslo;
0178;Oslo;Deichmans gate 11–;0313;NAV St. Hanshaugen;0301;Oslo;
0178;Oslo;Rosteds gate 2–;0313;NAV St. Hanshaugen;0301;Oslo;
0178;Oslo;Wilses gate;0313;NAV St. Hanshaugen;0301;Oslo;
0179;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0180;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0181;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0182;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0182;Oslo;Hausmanns gate 17–;0313;NAV St. Hanshaugen;0301;Oslo;
0182;Oslo;Storgata 37–51;0313;NAV St. Hanshaugen;0301;Oslo;
0182;Oslo;Torggata 38–40;0313;NAV St. Hanshaugen;0301;Oslo;
0183;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0184;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0185;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0185;Oslo;Schweigaards gate 10–14;0316;NAV Gamle Oslo;0301;Oslo;
0186;Oslo;Alle andre adresser;0315;NAV Grünerløkka;0301;Oslo;
0186;Oslo;Brugata 6–;0313;NAV St. Hanshaugen;0301;Oslo;
0187;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0188;Oslo;Alle andre adresser;0316;NAV Gamle Oslo;0301;Oslo;
0188;Oslo;Grønland 1;0313;NAV St. Hanshaugen;0301;Oslo;
0190;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0191;Oslo;Alle andre adresser;0316;NAV Gamle Oslo;0301;Oslo;
0191;Oslo;Dronning Eufemias gate 2–6;0313;NAV St. Hanshaugen;0301;Oslo;
0192;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0193;Oslo;Alle andre adresser;0316;NAV Gamle Oslo;0301;Oslo;
0193;Oslo;Bekkelagskaia;0318;NAV Nordstrand;0301;Oslo;
0193;Oslo;Kneppeskjær;0318;NAV Nordstrand;0301;Oslo;
0193;Oslo;Kongshavnveien;0318;NAV Nordstrand;0301;Oslo;
0193;Oslo;Kongsveien 8;0318;NAV Nordstrand;0301;Oslo;
0193;Oslo;Mosseveien 71–79;0318;NAV Nordstrand;0301;Oslo;
0193;Oslo;Sjursøya;0318;NAV Nordstrand;0301;Oslo;
0194;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0195;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0196;Oslo;;0316;NAV Gamle Oslo;0301;Oslo;
0198;Oslo;;0318;NAV Nordstrand;0301;Oslo;
0250;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0250;Oslo;Dronning Mauds gate;0313;NAV St. Hanshaugen;0301;Oslo;
0250;Oslo;Munkedamsveien 14–20;0313;NAV St. Hanshaugen;0301;Oslo;
0250;Oslo;Munkedamsveien 15–53;0313;NAV St. Hanshaugen;0301;Oslo;
0251;Oslo;Alle andre adresser;0313;NAV St. Hanshaugen;0301;Oslo;
0251;Oslo;Cort Adelers gate 35–;0312;NAV Frogner;0301;Oslo;
0251;Oslo;Kronprinsens gate 19;0312;NAV Frogner;0301;Oslo;
0251;Oslo;Ruseløkkveien 45–;0312;NAV Frogner;0301;Oslo;
0251;Oslo;Ruseløkkveien 50–;0312;NAV Frogner;0301;Oslo;
0252;Oslo;;0312;NAV Frogner;0301;Oslo;
0253;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0253;Oslo;Arbins gate 2–;0313;NAV St. Hanshaugen;0301;Oslo;
0254;Oslo;;0312;NAV Frogner;0301;Oslo;
0255;Oslo;Alle andre adresser;0312;NAV Frogner;0301;Oslo;
0255;Oslo;Henrik Ibsens gate 4–20;0313;NAV St. Hanshaugen;0301;Oslo;
0256;Oslo;;0312;NAV Frogner;0301;Oslo;
0257;Oslo;;0312;NAV Frogner;0301;Oslo;
0258;Oslo;;0312;NAV Frogner;0301;Oslo;
0259;Oslo;;0312;NAV Frogner;0301;Oslo;
0260;Oslo;;0312;NAV Frogner;0301;Oslo;
0262;Oslo;;0312;NAV Frogner;0301;Oslo;
0263;Oslo;;0312;NAV Frogner;0301;Oslo;
0264;Oslo;;0312;NAV Frogner;0301;Oslo;
0265;Oslo;;0312;NAV Frogner;0301;Oslo;
0266;Oslo;;0312;NAV Frogner;0301;Oslo;
0267;Oslo;;0312;NAV Frogner;0301;Oslo;
0268;Oslo;;0312;NAV Frogner;0301;Oslo;
0270;Oslo;;0312;NAV Frogner;0301;Oslo;
0271;Oslo;;0312;NAV Frogner;0301;Oslo;
0272;Oslo;;0312;NAV Frogner;0301;Oslo;
0273;Oslo;;0312;NAV Frogner;0301;Oslo;
0274;Oslo;;0335;NAV Ullern;0301;Oslo;
0275;Oslo;;0335;NAV Ullern;0301;Oslo;
0276;Oslo;;0335;NAV Ullern;0301;Oslo;
0277;Oslo;Alle andre adresser;0335;NAV Ullern;0301;Oslo;
0277;Oslo;Drammensveien 121;0312;NAV Frogner;0301;Oslo;
0278;Oslo;;0335;NAV Ullern;0301;Oslo;
0279;Oslo;;0335;NAV Ullern;0301;Oslo;
0280;Oslo;;0335;NAV Ullern;0301;Oslo;
0281;Oslo;;0335;NAV Ullern;0301;Oslo;
0282;Oslo;;0335;NAV Ullern;0301;Oslo;
0283;Oslo;;0335;NAV Ullern;0301;Oslo;
0284;Oslo;;0335;NAV Ullern;0301;Oslo;
0286;Oslo;;0312;NAV Frogner;0301;Oslo;
0287;Oslo;;0312;NAV Frogner;0301;Oslo;
0313;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0340;Oslo;;0313;NAV St. Hanshaugen;0301;Oslo;
0349;Oslo;;0331;NAV Nordre Aker;0301;Oslo;
0350;Oslo;;0312;NAV Frogner;0301;Oslo;
0351;Oslo;;0312;NAV Frogner;0301;Oslo;
0352;Oslo;;0312;NAV Frogner;0301;Oslo;
0353;Oslo;;0312;NAV Frogner;0301;Oslo;
